datatype,sample_size,model_name,model_type,evaluation_type,strategy,precision,recall,f1,TP,FN,FP,TN,file_path
wdc,100,ft:gpt-4o-mini-2024-07-18:mlab:wdc-product-matching-inconsistency-0904-100:CC4nJaqO,after,knn,inconsistency,0.7066,0.9069,0.7943,224,23,93,2881,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._report.txt
wdc,100,gpt-4o-mini-2024-07-18,before,all_pairs,baseline,0.7563,0.596,0.6667,149,101,48,124452,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._report.txt
wdc,100,ft:gpt-4o-mini-2024-07-18:mlab:wdc-product-matching-inconsistency-0904-100:CC4nJaqO,after,all_pairs,inconsistency,0.5068,0.9,0.6484,225,25,219,124281,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._report.txt
wdc,100,ft:gpt-4o-mini-2024-07-18:mlab:wdc-product-matching-uncertainty-0904-100:CBx6MpA7,before,knn,uncertainty,0.712,0.9109,0.7993,225,22,91,2883,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-product-matching-uncer..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-product-matching-uncer..._report.txt
wdc,100,ft:gpt-4o-mini-2024-07-18:mlab:wdc-product-matching-uncertainty-0904-100:CBx6MpA7,after,knn,uncertainty,0.712,0.9109,0.7993,225,22,91,2883,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-product-matching-uncer..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-product-matching-uncer..._report.txt
wdc,100,ft:gpt-4o-mini-2024-07-18:mlab:wdc-product-matching-uncertainty-0904-100:CBx6MpA7,before,all_pairs,uncertainty,0.5159,0.908,0.658,227,23,213,124287,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-product-matching-uncer..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-product-matching-uncer..._report.txt
wdc,100,ft:gpt-4o-mini-2024-07-18:mlab:wdc-product-matching-uncertainty-0904-100:CBx6MpA7,after,all_pairs,uncertainty,0.5159,0.908,0.658,227,23,213,124287,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-product-matching-uncer..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-product-matching-uncer..._report.txt
wdc,200,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-random-0904-200:CC3iYnz5,before,knn,random,0.8101,0.7773,0.7934,192,55,45,2929,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,200,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-inconsistency-0904-200:CC3hmLoG,after,knn,inconsistency,0.8868,0.5709,0.6946,141,106,18,2956,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,200,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-random-0904-200:CC3iYnz5,before,all_pairs,random,0.6855,0.776,0.728,194,56,89,124411,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,200,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-inconsistency-0904-200:CC3hmLoG,after,all_pairs,inconsistency,0.8462,0.572,0.6826,143,107,26,124474,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,200,gpt-4o-mini-2024-07-18,before,knn,baseline,0.8418,0.6032,0.7028,149,98,28,2946,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,200,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-diversity-0904-200:CC1vaXRi,after,knn,diversity,0.7196,0.9352,0.8134,231,16,90,2884,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,200,gpt-4o-mini-2024-07-18,before,all_pairs,baseline,0.7563,0.596,0.6667,149,101,48,124452,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,200,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-diversity-0904-200:CC1vaXRi,after,all_pairs,diversity,0.5,0.932,0.6508,233,17,233,124267,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,200,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-uncertainty-0904-200:CC3iL2gx,before,knn,uncertainty,0.7147,0.9433,0.8133,233,14,93,2881,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-matching-uncertainty-0..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-matching-uncertainty-0..._report.txt
wdc,200,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-uncertainty-0904-200:CC3iL2gx,after,knn,uncertainty,0.7147,0.9433,0.8133,233,14,93,2881,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-matching-uncertainty-0..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-matching-uncertainty-0..._report.txt
wdc,200,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-uncertainty-0904-200:CC3iL2gx,before,all_pairs,uncertainty,0.5021,0.948,0.6565,237,13,235,124265,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-matching-uncertainty-0..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-matching-uncertainty-0..._report.txt
wdc,200,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-uncertainty-0904-200:CC3iL2gx,after,all_pairs,uncertainty,0.5021,0.948,0.6565,237,13,235,124265,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-matching-uncertainty-0..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-matching-uncertainty-0..._report.txt
person,200,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-inconsistency-0905-200:CCKX5rf9,before,knn,inconsistency,1.0,0.9829,0.9914,749,13,0,2780,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person..._after-ft_gpt-4o-mini-2024-07-18_mlab_person..._report.txt
person,200,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-random-0905-200:CCKZM3g9,after,knn,random,1.0,1.0,1.0,762,0,0,2780,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person..._after-ft_gpt-4o-mini-2024-07-18_mlab_person..._report.txt
person,200,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-inconsistency-0905-200:CCKX5rf9,before,all_pairs,inconsistency,1.0,1.0,1.0,762,0,0,124488,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person..._after-ft_gpt-4o-mini-2024-07-18_mlab_person..._report.txt
person,200,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-random-0905-200:CCKZM3g9,after,all_pairs,random,1.0,1.0,1.0,762,0,0,124488,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person..._after-ft_gpt-4o-mini-2024-07-18_mlab_person..._report.txt
person,200,gpt-4o-mini-2024-07-18,before,knn,baseline,1.0,0.7979,0.8876,608,154,0,2780,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person..._report.txt
person,200,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-uncertainty-0905-200:CCKX6k2a,after,knn,uncertainty,0.9948,1.0,0.9974,762,0,4,2776,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person..._report.txt
person,200,gpt-4o-mini-2024-07-18,before,all_pairs,baseline,1.0,0.8425,0.9145,642,120,0,124488,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person..._report.txt
person,200,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-uncertainty-0905-200:CCKX6k2a,after,all_pairs,uncertainty,0.9621,1.0,0.9807,762,0,30,124458,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person..._report.txt
person,200,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-diversity-0905-200:CCKWlovS,before,knn,diversity,1.0,0.958,0.9786,730,32,0,2780,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-diversity-..._after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-diversity-..._report.txt
person,200,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-diversity-0905-200:CCKWlovS,after,knn,diversity,1.0,0.958,0.9786,730,32,0,2780,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-diversity-..._after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-diversity-..._report.txt
person,200,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-diversity-0905-200:CCKWlovS,before,all_pairs,diversity,1.0,0.9882,0.9941,753,9,0,124488,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-diversity-..._after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-diversity-..._report.txt
person,200,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-diversity-0905-200:CCKWlovS,after,all_pairs,diversity,1.0,0.9882,0.9941,753,9,0,124488,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-diversity-..._after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-diversity-..._report.txt
person,400,gpt-4o-mini-2024-07-18,before,knn,baseline,1.0,0.7979,0.8876,608,154,0,2780,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-uncertaint..._report.txt
person,400,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-uncertainty-0904-400:CCqNMiIv,after,knn,uncertainty,0.9922,1.0,0.9961,762,0,6,2774,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-uncertaint..._report.txt
person,400,gpt-4o-mini-2024-07-18,before,all_pairs,baseline,1.0,0.8425,0.9145,642,120,0,124488,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-uncertaint..._report.txt
person,400,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-uncertainty-0904-400:CCqNMiIv,after,all_pairs,uncertainty,0.8543,1.0,0.9214,762,0,130,124358,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-uncertaint..._report.txt
person,400,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-random-0904-400:CCqJjs41,before,knn,random,1.0,0.9987,0.9993,761,1,0,2780,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-random-090..._after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-inconsiste..._report.txt
person,400,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-inconsistency-0904-400:CCqJ04hC,after,knn,inconsistency,1.0,0.9934,0.9967,757,5,0,2780,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-random-090..._after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-inconsiste..._report.txt
person,400,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-random-0904-400:CCqJjs41,before,all_pairs,random,1.0,1.0,1.0,762,0,0,124488,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-random-090..._after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-inconsiste..._report.txt
person,400,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-inconsistency-0904-400:CCqJ04hC,after,all_pairs,inconsistency,1.0,1.0,1.0,762,0,0,124488,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-random-090..._after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-inconsiste..._report.txt
person,400,gpt-4o-mini-2024-07-18,before,knn,baseline,1.0,0.7979,0.8876,608,154,0,2780,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-diversity-..._report.txt
person,400,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-diversity-0904-400:CCqJ7EKm,after,knn,diversity,0.6195,1.0,0.7651,762,0,468,2312,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-diversity-..._report.txt
person,400,gpt-4o-mini-2024-07-18,before,all_pairs,baseline,1.0,0.8425,0.9145,642,120,0,124488,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-diversity-..._report.txt
person,400,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-diversity-0904-400:CCqJ7EKm,after,all_pairs,diversity,0.0575,1.0,0.1087,762,0,12499,111989,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-diversity-..._report.txt
bibkyoto,100,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-diversity-0904-100:CC1kkrC4,before,knn,diversity,0.9528,1.0,0.9758,949,0,47,2797,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,100,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-random-0904-100:CC1le9u8,after,knn,random,0.9979,1.0,0.9989,949,0,2,2841,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,100,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-diversity-0904-100:CC1kkrC4,before,all_pairs,diversity,0.8026,1.0,0.8905,972,0,239,124039,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,100,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-random-0904-100:CC1le9u8,after,all_pairs,random,0.9838,1.0,0.9918,972,0,16,124262,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
