datatype,sample_size,model_name,model_type,precision,recall,f1,TP,FN,FP,TN,file_path
wdc,200,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-diversity-0904-200:CC1vaXRi,after,0.5,0.932,0.6508,233,17,233,124267,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
person,200,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-inconsistency-0905-200:CCKX5rf9,before,1.0,0.9829,0.9914,749,13,0,2780,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person..._after-ft_gpt-4o-mini-2024-07-18_mlab_person..._report.txt
person,200,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-random-0905-200:CCKZM3g9,after,1.0,1.0,1.0,762,0,0,2780,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person..._after-ft_gpt-4o-mini-2024-07-18_mlab_person..._report.txt
person,200,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-inconsistency-0905-200:CCKX5rf9,before,1.0,1.0,1.0,762,0,0,124488,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person..._after-ft_gpt-4o-mini-2024-07-18_mlab_person..._report.txt
person,200,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-random-0905-200:CCKZM3g9,after,1.0,1.0,1.0,762,0,0,124488,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person..._after-ft_gpt-4o-mini-2024-07-18_mlab_person..._report.txt
person,200,gpt-4o-mini-2024-07-18,before,1.0,0.7979,0.8876,608,154,0,2780,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person..._report.txt
person,200,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-uncertainty-0905-200:CCKX6k2a,after,0.9948,1.0,0.9974,762,0,4,2776,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person..._report.txt
person,200,gpt-4o-mini-2024-07-18,before,1.0,0.8425,0.9145,642,120,0,124488,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person..._report.txt
person,200,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-uncertainty-0905-200:CCKX6k2a,after,0.9621,1.0,0.9807,762,0,30,124458,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_200_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person..._report.txt
person,400,gpt-4o-mini-2024-07-18,before,1.0,0.7979,0.8876,608,154,0,2780,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-uncertaint..._report.txt
person,400,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-uncertainty-0904-400:CCqNMiIv,after,0.9922,1.0,0.9961,762,0,6,2774,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-uncertaint..._report.txt
person,400,gpt-4o-mini-2024-07-18,before,1.0,0.8425,0.9145,642,120,0,124488,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-uncertaint..._report.txt
person,400,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-uncertainty-0904-400:CCqNMiIv,after,0.8543,1.0,0.9214,762,0,130,124358,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-uncertaint..._report.txt
person,400,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-random-0904-400:CCqJjs41,before,1.0,0.9987,0.9993,761,1,0,2780,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-random-090..._after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-inconsiste..._report.txt
person,400,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-inconsistency-0904-400:CCqJ04hC,after,1.0,0.9934,0.9967,757,5,0,2780,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-random-090..._after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-inconsiste..._report.txt
person,400,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-random-0904-400:CCqJjs41,before,1.0,1.0,1.0,762,0,0,124488,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-random-090..._after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-inconsiste..._report.txt
person,400,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-inconsistency-0904-400:CCqJ04hC,after,1.0,1.0,1.0,762,0,0,124488,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-random-090..._after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-inconsiste..._report.txt
person,400,gpt-4o-mini-2024-07-18,before,1.0,0.7979,0.8876,608,154,0,2780,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-diversity-..._report.txt
person,400,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-diversity-0904-400:CCqJ7EKm,after,0.6195,1.0,0.7651,762,0,468,2312,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-diversity-..._report.txt
person,400,gpt-4o-mini-2024-07-18,before,1.0,0.8425,0.9145,642,120,0,124488,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-diversity-..._report.txt
person,400,ft:gpt-4o-mini-2024-07-18:mlab:person-matching-diversity-0904-400:CCqJ7EKm,after,0.0575,1.0,0.1087,762,0,12499,111989,/Users/kasiwamochi/Document/Lab2501/results_person/run_500_400_person/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_person-matching-diversity-..._report.txt
bibkyoto,100,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-diversity-0904-100:CC1kkrC4,before,0.9528,1.0,0.9758,949,0,47,2797,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,100,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-random-0904-100:CC1le9u8,after,0.9979,1.0,0.9989,949,0,2,2841,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,100,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-diversity-0904-100:CC1kkrC4,before,0.8026,1.0,0.8905,972,0,239,124039,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,100,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-random-0904-100:CC1le9u8,after,0.9838,1.0,0.9918,972,0,16,124262,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,100,gpt-4o-mini-2024-07-18,before,1.0,0.9505,0.9746,902,47,0,2844,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,100,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-uncertainty-0904-100:CC1mMx3h,after,0.2502,1.0,0.4003,949,0,2844,0,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,100,gpt-4o-mini-2024-07-18,before,1.0,0.9733,0.9864,946,26,0,124278,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,100,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-uncertainty-0904-100:CC1mMx3h,after,0.0078,1.0,0.0154,972,0,124278,0,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,100,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-inconsistency-0904-100:CC1lnkkH,before,1.0,0.9779,0.9888,928,21,0,2844,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-gpt-4o-mini-2024-07-18_report.txt
bibkyoto,100,gpt-4o-mini-2024-07-18,after,1.0,0.9505,0.9746,902,47,0,2844,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-gpt-4o-mini-2024-07-18_report.txt
bibkyoto,100,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-inconsistency-0904-100:CC1lnkkH,before,1.0,0.9866,0.9933,959,13,0,124278,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-gpt-4o-mini-2024-07-18_report.txt
bibkyoto,100,gpt-4o-mini-2024-07-18,after,1.0,0.9733,0.9864,946,26,0,124278,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-gpt-4o-mini-2024-07-18_report.txt
bibkyoto,400,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-random-0904-400:CCfU0t0c,before,0.9989,0.9989,0.9989,948,1,1,2843,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-random-0..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-inconsis..._report.txt
bibkyoto,400,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-inconsistency-0904-400:CCfT89Ug,after,1.0,0.9979,0.9989,947,2,0,2844,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-random-0..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-inconsis..._report.txt
bibkyoto,400,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-random-0904-400:CCfU0t0c,before,0.9838,1.0,0.9918,972,0,16,124262,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-random-0..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-inconsis..._report.txt
bibkyoto,400,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-inconsistency-0904-400:CCfT89Ug,after,1.0,0.999,0.9995,971,1,0,124278,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-random-0..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-inconsis..._report.txt
bibkyoto,400,gpt-4o-mini-2024-07-18,before,1.0,0.9505,0.9746,902,47,0,2844,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-gpt-4o-mini-2024-07-18_report.txt
bibkyoto,400,gpt-4o-mini-2024-07-18,after,1.0,0.9505,0.9746,902,47,0,2844,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-gpt-4o-mini-2024-07-18_report.txt
bibkyoto,400,gpt-4o-mini-2024-07-18,before,1.0,0.9733,0.9864,946,26,0,124278,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-gpt-4o-mini-2024-07-18_report.txt
bibkyoto,400,gpt-4o-mini-2024-07-18,after,1.0,0.9733,0.9864,946,26,0,124278,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-gpt-4o-mini-2024-07-18_report.txt
bibkyoto,400,gpt-4o-mini-2024-07-18,before,1.0,0.9505,0.9746,902,47,0,2844,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-uncertai..._report.txt
bibkyoto,400,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-uncertainty-0904-400:CCfYmRAx,after,0.9948,1.0,0.9974,949,0,5,2839,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-uncertai..._report.txt
bibkyoto,400,gpt-4o-mini-2024-07-18,before,1.0,0.9733,0.9864,946,26,0,124278,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-uncertai..._report.txt
bibkyoto,400,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-uncertainty-0904-400:CCfYmRAx,after,0.9838,1.0,0.9918,972,0,16,124262,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-uncertai..._report.txt
bibkyoto,400,gpt-4o-mini-2024-07-18,before,1.0,0.9505,0.9746,902,47,0,2844,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-diversit..._report.txt
bibkyoto,400,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-diversity-0904-400:CCfU3Efm,after,0.9979,0.9989,0.9984,948,1,2,2842,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-diversit..._report.txt
